1_ortho,2_phon,3_lemme,4_cgram,5_genre,6_nombre,9_freqfilms2,10_freqlivres,24_nbsyll
a,a,a,NOM,m,,81.36,58.65,1
a,a,avoir,AUX,,,6350.91,2926.69,1
a,a,avoir,VER,,,5498.34,1669.39,1
a capella,akapEla,a capella,ADV,,,0.04,0.07,4
a cappella,akapEla,a cappella,ADV,,,0.04,0.07,4
a contrario,ak§tRaRjo,a contrario,ADV,,,0.0,0.27,4
a fortiori,afORsjoRi,a fortiori,ADV,,,0.04,0.88,4
a giorno,adZjORno,a giorno,ADV,,,0.0,0.27,3
a jeun,aZ1,à jeun,ADV,,,0.18,0.0,2
a l'instar,al5staR,a l'instar,PRE,,,0.26,0.0,3
a posteriori,apOsteRjoRi,a posteriori,ADV,,,0.01,0.14,5
a priori,apRijoRi,a priori,ADV,,,0.63,2.57,4
a priori,apRijoRi,a priori,NOM,m,,0.41,0.47,4
aa,aa,aa,NOM,m,s,0.01,0.0,2
ab absurdo,abapsuRdo,ab absurdo,ADV,,,0.0,0.07,4
ab initio,abinisjo,ab initio,ADV,,,0.01,0.07,4
ab ovo,abovo,ab ovo,ADV,,,0.0,0.27,3
abaca,abaka,abaca,NOM,m,s,0.01,0.0,3
abaissa,abEsa,abaisser,VER,,,0.0,2.64,3
abaissai,abEsE,abaisser,VER,,,0.1,0.07,3
abaissaient,abEsE,abaisser,VER,,,0.0,0.41,3
abaissait,abEsE,abaisser,VER,,,0.02,2.5,3
abaissant,abEs@,abaissant,ADJ,m,s,0.03,0.27,3
abaissant,abEs@,abaisser,VER,,,0.01,2.5,3
abaissante,abEs@t,abaissant,ADJ,f,s,0.01,0.0,3
abaisse,abEs,abaisse,NOM,f,s,0.02,0.0,2
abaisse,abEs,abaisser,VER,,,1.28,3.45,2
abaisse-langue,abEsl@g,abaisse-langue,NOM,m,,0.04,0.14,3
abaissement,abEs°m@,abaissement,NOM,m,s,0.31,2.16,4
abaissent,abEs,abaisser,VER,,,0.05,0.95,2
abaisser,abese,abaisser,VER,,,1.09,2.91,3
abaissera,abEs°Ra,abaisser,VER,,,0.19,0.07,4
abaisserai,abEs°RE,abaisser,VER,,,0.1,0.07,4
abaisseraient,abEs°RE,abaisser,VER,,,0.01,0.07,4
abaisserais,abEs°RE,abaisser,VER,,,0.13,0.0,4
abaisserait,abEs°RE,abaisser,VER,,,0.02,0.2,4
abaisses,abEs,abaisser,VER,,,0.16,0.07,2
abaissez,abEse,abaisser,VER,,,0.53,0.07,3
abaissons,abEs§,abaisser,VER,,,0.02,0.0,3
abaissèrent,abEsER,abaisser,VER,,,0.0,0.41,3
abaissé,abese,abaisser,VER,m,s,0.74,1.35,3
abaissé,abese,abaissé,ADJ,m,s,0.03,0.2,3
abaissée,abese,abaisser,VER,f,s,0.17,0.27,3
abaissée,abese,abaissé,ADJ,f,s,0.0,0.2,3
abaissées,abese,abaisser,VER,f,p,0.01,0.0,3
abaissées,abese,abaissé,ADJ,f,p,0.02,0.27,3
abaissés,abese,abaisser,VER,m,p,0.3,0.07,3
abaissés,abese,abaissé,ADJ,m,p,0.01,0.07,3
abalone,abalOn,abalone,NOM,m,s,0.01,0.0,3
abalones,abalOn,abalone,NOM,m,p,0.0,0.07,3
abandon,ab@d§,abandon,NOM,m,s,4.77,25.2,3
abandonna,ab@dona,abandonner,VER,,,0.59,8.92,4
abandonnai,ab@donE,abandonner,VER,,,0.27,2.16,4
abandonnaient,ab@donE,abandonner,VER,,,0.07,1.55,4
abandonnais,ab@donE,abandonner,VER,,,0.35,1.49,4
abandonnait,ab@donE,abandonner,VER,,,1.04,9.46,4
abandonnant,ab@don@,abandonner,VER,,,1.15,9.93,4
abandonnas,ab@dona,abandonner,VER,,,0.0,0.14,4
abandonne,ab@dOn,abandonner,VER,,,24.04,15.54,3
abandonnent,ab@dOn,abandonner,VER,,,2.44,2.64,3
abandonner,ab@done,abandonner,VER,,,28.37,27.7,4
abandonnera,ab@dOn°Ra,abandonner,VER,,,1.52,0.81,5
abandonnerai,ab@dOn°RE,abandonner,VER,,,2.39,0.41,5
abandonneraient,ab@dOn°RE,abandonner,VER,,,0.02,0.14,5
abandonnerais,ab@dOn°RE,abandonner,VER,,,0.93,0.27,5
abandonnerait,ab@dOn°RE,abandonner,VER,,,0.23,0.88,5
abandonneras,ab@dOn°Ra,abandonner,VER,,,0.3,0.2,5
abandonnerez,ab@dOn°Re,abandonner,VER,,,0.14,0.0,5
abandonneriez,ab@dOn°Rje,abandonner,VER,,,0.23,0.2,5
abandonnerions,ab@dOn°Rj§,abandonner,VER,,,0.01,0.0,5
abandonnerons,ab@dOn°R§,abandonner,VER,,,0.39,0.14,5
abandonneront,ab@dOn°R§,abandonner,VER,,,0.41,0.27,5
abandonnes,ab@dOn,abandonner,VER,,,4.13,0.14,3
abandonneurs,ab@don9R,abandonneur,NOM,m,p,0.0,0.07,4
abandonnez,ab@done,abandonner,VER,,,5.72,0.88,4
abandonniez,ab@donje,abandonner,VER,,,0.14,0.14,4
abandonnions,ab@donj§,abandonner,VER,,,0.06,0.54,4
abandonnique,ab@donik,abandonnique,ADJ,,s,0.0,0.07,4
abandonnons,ab@don§,abandonner,VER,,,1.06,0.68,4
abandonnâmes,ab@donam,abandonner,VER,,,0.0,0.27,4
abandonnât,ab@dona,abandonner,VER,,,0.0,0.34,4
abandonnèrent,ab@donER,abandonner,VER,,,0.16,1.42,4
abandonné,ab@done,abandonner,VER,m,s,22.56,23.92,4
abandonné,ab@done,abandonné,ADJ,m,s,3.84,8.45,4
abandonnée,ab@done,abandonner,VER,f,s,7.34,9.66,4
abandonnée,ab@done,abandonné,ADJ,f,s,2.94,8.24,4
abandonnées,ab@done,abandonner,VER,f,p,1.27,2.7,4
abandonnées,ab@done,abandonné,ADJ,f,p,0.44,2.97,4
abandonnés,ab@done,abandonner,VER,m,p,3.55,4.93,4
abandonnés,ab@done,abandonné,ADJ,m,p,1.05,4.73,4
abandons,ab@d§,abandon,NOM,m,p,0.07,2.16,3
abaque,abak,abaque,NOM,m,s,0.0,0.07,2
abasourdi,abazuRdi,abasourdi,ADJ,m,s,0.24,2.03,4
abasourdi,abazuRdi,abasourdir,VER,m,s,0.35,2.09,4
abasourdie,abazuRdi,abasourdi,ADJ,f,s,0.14,0.54,4
abasourdie,abazuRdi,abasourdir,VER,f,s,0.12,0.54,4
abasourdir,abazuRdiR,abasourdir,VER,,,0.01,0.14,4
abasourdis,abazuRdi,abasourdi,ADJ,m,p,0.02,0.07,4
abasourdis,abazuRdi,abasourdir,VER,m,p,0.07,0.2,4
abasourdissant,abazuRdis@,abasourdissant,ADJ,m,s,0.01,0.0,5
abasourdissants,abazuRdis@,abasourdissant,ADJ,m,p,0.0,0.07,5
abat,aba,abat,NOM,m,s,0.13,0.2,2
abat,aba,abattre,VER,,,2.15,4.93,2
abat-jour,abaZuR,abat-jour,NOM,m,,0.51,8.24,3
abat-son,abas§,abat-son,NOM,m,,0.0,0.27,3
abatage,abataZ,abatage,NOM,m,s,0.0,0.07,3
abatis,abati,abatis,NOM,m,,0.0,0.88,3
abats,aba,abat,NOM,m,p,0.52,0.81,2
abats,aba,abattre,VER,,,1.79,0.54,2
abattage,abataZ,abattage,NOM,m,s,0.63,1.15,3
abattages,abataZ,abattage,NOM,m,p,0.02,0.14,3
abattaient,abatE,abattre,VER,,,0.06,2.36,3
abattais,abatE,abattre,VER,,,0.02,0.27,3
abattait,abatE,abattre,VER,,,0.42,3.45,3
abattant,abat@,abattant,NOM,m,s,0.05,0.54,3
abattant,abat@,abattre,VER,,,0.31,1.96,3
abattants,abat@,abattant,NOM,m,p,0.01,0.07,3
abatte,abat,abattre,VER,,,0.58,0.61,2
abattement,abat°m@,abattement,NOM,m,s,0.17,2.36,4
abattements,abat°m@,abattement,NOM,m,p,0.01,0.27,4
abattent,abat,abattre,VER,,,0.69,2.03,2
abattes,abat,abattre,VER,,,0.11,0.0,2
abatteur,abat9R,abatteur,NOM,m,s,0.14,0.2,3
abatteurs,abat9R,abatteur,NOM,m,p,0.0,0.07,3
abattez,abate,abattre,VER,,,2.21,0.0,3
abattiez,abatje,abattre,VER,,,0.06,0.0,3
abattions,abatj§,abattre,VER,,,0.0,0.07,3
abattirent,abatiR,abattre,VER,,,0.03,0.95,3
abattis,abati,abattis,NOM,m,,0.14,1.08,3
abattis,abati,abattre,VER,,,0.0,0.27,3
abattit,abati,abattre,VER,,,0.34,5.07,3
abattoir,abatwaR,abattoir,NOM,m,s,2.67,2.36,3
abattoirs,abatwaR,abattoir,NOM,m,p,0.48,2.3,3
abattons,abat§,abattre,VER,,,0.33,0.0,3
abattra,abatRa,abattre,VER,,,1.51,0.61,3
abattrai,abatRE,abattre,VER,,,0.39,0.0,3
abattraient,abatRE,abattre,VER,,,0.03,0.07,3
abattrais,abatRE,abattre,VER,,,0.1,0.07,3
abattrait,abatRE,abattre,VER,,,0.63,0.41,3
abattras,abatRa,abattre,VER,,,0.03,0.0,3
abattre,abatR,abattre,VER,,,14.43,14.32,2
abattrez,abatRe,abattre,VER,,,0.26,0.0,3
abattriez,abatRie,abattre,VER,,,0.02,0.0,4
abattrons,abatR§,abattre,VER,,,0.11,0.0,3
abattront,abatR§,abattre,VER,,,0.34,0.07,3
abattu,abaty,abattre,VER,m,s,11.48,7.43,3
abattu,abaty,abattu,ADJ,m,s,1.82,3.78,3
abattu,abaty,abattu,NOM,m,s,0.18,1.22,3
abattue,abaty,abattre,VER,f,s,2.19,2.43,3
abattue,abaty,abattu,ADJ,f,s,0.18,1.55,3
abattues,abaty,abattre,VER,f,p,0.44,0.27,3
abattues,abaty,abattu,ADJ,f,p,0.04,0.68,3
abattures,abatyR,abatture,NOM,f,p,0.0,0.14,3
abattus,abaty,abattre,VER,m,p,2.42,2.43,3
abattus,abaty,abattu,ADJ,m,p,0.47,1.08,3
abattus,abaty,abattu,NOM,m,p,0.35,0.2,3
abbatial,abasjal,abbatial,ADJ,m,s,0.0,0.27,3
abbatiale,abasjal,abbatial,ADJ,f,s,0.0,0.27,3
abbatiale,abasjal,abbatiale,NOM,f,s,0.0,0.14,3
abbatiales,abasjal,abbatial,ADJ,f,p,0.0,0.07,3
abbaye,abei,abbaye,NOM,f,s,3.66,3.31,3
abbayes,abei,abbaye,NOM,f,p,0.28,0.47,3
abbesse,abEs,abbé,NOM,f,s,0.26,0.41,2
abbesses,abEs,abbé,NOM,f,p,0.0,0.61,2
abbé,abe,abbé,NOM,m,s,4.19,31.28,2
abbés,abe,abbé,NOM,m,p,0.02,1.22,2
abc,abese,abc,NOM,m,,0.04,0.0,3
abcès,apsE,abcès,NOM,m,,1.79,3.31,2
abdication,abdikasj§,abdication,NOM,f,s,0.05,1.82,4
abdications,abdikasj§,abdication,NOM,f,p,0.0,0.14,4
abdiqua,abdika,abdiquer,VER,,,0.0,0.2,3
abdiquai,abdikE,abdiquer,VER,,,0.0,0.07,3
abdiquaient,abdikE,abdiquer,VER,,,0.0,0.07,3
abdiquais,abdikE,abdiquer,VER,,,0.0,0.14,3
abdiquait,abdikE,abdiquer,VER,,,0.0,0.2,3
abdiquant,abdik@,abdiquer,VER,,,0.0,0.07,3
abdique,abdik,abdiquer,VER,,,0.23,0.41,2
abdiquer,abdike,abdiquer,VER,,,0.08,0.41,3
abdiquera,abdik°Ra,abdiquer,VER,,,0.01,0.07,4
abdiquerais,abdik°RE,abdiquer,VER,,,0.0,0.07,4
abdiquerait,abdik°RE,abdiquer,VER,,,0.0,0.07,4
abdiquez,abdike,abdiquer,VER,,,0.03,0.0,3
abdiqué,abdike,abdiquer,VER,m,s,0.11,0.95,3
abdiquée,abdike,abdiquer,VER,f,s,0.0,0.07,3
abdomen,abdomEn,abdomen,NOM,m,s,2.76,1.55,3
abdominal,abdominal,abdominal,ADJ,m,s,0.5,0.0,4
abdominale,abdominal,abdominal,ADJ,f,s,1.3,0.61,4
abdominales,abdominal,abdominal,ADJ,f,p,0.7,0.0,4
abdominaux,abdomino,abdominal,ADJ,m,p,0.06,0.14,4
abdominaux,abdomino,abdominal,NOM,m,p,0.09,0.68,4
abdos,abdo,abdos,NOM,m,p,0.86,0.0,2
abducteur,abdykt9R,abducteur,ADJ,m,s,0.01,0.0,3
abduction,abdyksj§,abduction,NOM,f,s,0.05,0.0,3
abeille,abEj,abeille,NOM,f,s,3.53,3.18,2
abeilles,abEj,abeille,NOM,f,p,5.59,6.69,2
aber,abe,aber,NOM,m,s,0.25,0.0,2
aberrant,abER@,aberrant,ADJ,m,s,0.58,1.08,3
aberrant,abER@,aberrer,VER,,,0.0,0.2,3
aberrante,abER@t,aberrant,ADJ,f,s,0.04,0.61,3
aberrantes,abER@t,aberrant,ADJ,f,p,0.2,0.34,3
aberrants,abER@,aberrant,ADJ,m,p,0.02,0.47,3
aberration,abERasj§,aberration,NOM,f,s,0.89,3.31,4
aberrations,abERasj§,aberration,NOM,f,p,0.27,1.15,4
abhorrais,abORE,abhorrer,VER,,,0.01,0.07,3
abhorrait,abORE,abhorrer,VER,,,0.01,0.68,3
abhorrant,abOR@,abhorrer,VER,,,0.01,0.07,3
abhorre,abOR,abhorrer,VER,,,0.2,0.0,2
abhorrer,abORe,abhorrer,VER,,,0.0,0.14,3
abhorrez,abORe,abhorrer,VER,,,0.03,0.0,3
abhorré,abORe,abhorrer,VER,m,s,0.01,0.27,3
abhorré,abORe,abhorré,ADJ,m,s,0.0,0.2,3
abhorrée,abORe,abhorrer,VER,f,s,0.0,0.07,3
abhorrée,abORe,abhorré,ADJ,f,s,0.01,0.07,3
abhorrés,abORe,abhorrer,VER,m,p,0.0,0.07,3
abject,abZEkt,abject,ADJ,m,s,1.4,1.69,2
abjecte,abZEkt,abject,ADJ,f,s,0.69,1.49,2
abjectement,abZEkt°m@,abjectement,ADV,,,0.1,0.07,4
abjectes,abZEkt,abject,ADJ,f,p,0.05,0.2,2
abjection,abZEksj§,abjection,NOM,f,s,0.37,2.16,3
abjections,abZEksj§,abjection,NOM,f,p,0.14,0.14,3
abjects,abZEkt,abject,ADJ,m,p,0.05,0.54,2
abjurant,abZyR@,abjurer,VER,,,0.14,0.0,3
abjuration,abZyRasj§,abjuration,NOM,f,s,0.0,0.41,4
abjurations,abZyRasj§,abjuration,NOM,f,p,0.0,0.07,4
abjure,abZyR,abjurer,VER,,,0.77,0.14,2
abjurer,abZyRe,abjurer,VER,,,0.22,0.68,3
abjurez,abZyRe,abjurer,VER,,,0.4,0.0,3
abjurons,abZyR§,abjurer,VER,,,0.0,0.07,3
abjuré,abZyRe,abjurer,VER,m,s,0.0,0.41,3
abkhaze,abkaz,abkhaze,ADJ,f,s,0.0,0.07,2
ablatif,ablatif,ablatif,NOM,m,s,0.0,0.14,3
ablation,ablasj§,ablation,NOM,f,s,0.43,1.28,3
ablations,ablasj§,ablation,NOM,f,p,0.03,0.07,3
able,abl,able,NOM,m,s,0.68,0.14,1
ablette,ablEt,ablette,NOM,f,s,0.0,0.41,2
ablettes,ablEt,ablette,NOM,f,p,0.14,0.54,2
ablution,ablysj§,ablution,NOM,f,s,0.01,0.14,3
ablutions,ablysj§,ablution,NOM,f,p,0.47,1.42,3
abnégation,abnegasj§,abnégation,NOM,f,s,0.91,3.58,4
aboi,abwa,aboi,NOM,m,s,0.0,0.88,2
aboie,abwa,aboyer,VER,,,2.91,2.03,2
aboiement,abwam@,aboiement,NOM,m,s,0.44,2.36,3
aboiements,abwam@,aboiement,NOM,m,p,1.35,3.58,3
aboient,abwa,aboyer,VER,,,0.54,0.81,2
aboiera,abwaRa,aboyer,VER,,,0.21,0.0,3
aboierait,abwaRE,aboyer,VER,,,0.01,0.07,3
aboieront,abwaR§,aboyer,VER,,,0.01,0.07,3
aboies,abwa,aboyer,VER,,,0.42,0.0,2
abois,abwa,aboi,NOM,m,p,0.78,2.7,2
aboli,aboli,aboli,ADJ,m,s,0.02,1.28,3
aboli,aboli,abolir,VER,m,s,1.1,1.42,3
abolie,aboli,aboli,ADJ,f,s,0.06,0.61,3
abolie,aboli,abolir,VER,f,s,0.06,0.54,3
abolies,aboli,aboli,ADJ,f,p,0.0,0.27,3
abolies,aboli,abolir,VER,f,p,0.11,0.34,3
abolir,aboliR,abolir,VER,,,1.08,2.97,3
abolira,aboliRa,abolir,VER,,,0.01,0.34,4
abolirait,aboliRE,abolir,VER,,,0.0,0.07,4
aboliras,aboliRa,abolir,VER,,,0.01,0.0,4
abolis,aboli,aboli,ADJ,m,p,0.0,0.41,3
abolis,aboli,abolir,VER,m,p,0.14,0.41,3
abolissaient,abolisE,abolir,VER,,,0.0,0.41,4
